County,FileNumber,Measure Names,ProviderName,Measure Values
ALACHUA,100113,Bed Census,UF HEALTH SHANDS HOSPITAL,875
ALACHUA,100113,Available,UF HEALTH SHANDS HOSPITAL,171
ALACHUA,100113,Available Capacity,UF HEALTH SHANDS HOSPITAL,0.163479924
ALACHUA,100113,Total Staffed Bed Capacity,UF HEALTH SHANDS HOSPITAL,"1,046"
ALACHUA,100204,Bed Census,NORTH FLORIDA REGIONAL MEDICAL CENTER,374
ALACHUA,100204,Available,NORTH FLORIDA REGIONAL MEDICAL CENTER,77
ALACHUA,100204,Available Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,0.170731707
ALACHUA,100204,Total Staffed Bed Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,451
ALACHUA,110025,Bed Census,UF HEALTH REHAB HOSPITAL,56
ALACHUA,110025,Available,UF HEALTH REHAB HOSPITAL,4
ALACHUA,110025,Available Capacity,UF HEALTH REHAB HOSPITAL,0.066666667
ALACHUA,110025,Total Staffed Bed Capacity,UF HEALTH REHAB HOSPITAL,60
ALACHUA,120011,Bed Census,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,56
ALACHUA,120011,Available,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,25
ALACHUA,120011,Available Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0.308641975
ALACHUA,120011,Total Staffed Bed Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,81
ALACHUA,23960071,Bed Census,SELECT SPECIALTY HOSPITAL GAINESVILLE,47
ALACHUA,23960071,Available,SELECT SPECIALTY HOSPITAL GAINESVILLE,0
ALACHUA,23960071,Available Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,0
ALACHUA,23960071,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,47
BAKER,100134,Bed Census,ED FRASER MEMORIAL HOSPITAL,6
BAKER,100134,Available,ED FRASER MEMORIAL HOSPITAL,6
BAKER,100134,Available Capacity,ED FRASER MEMORIAL HOSPITAL,0.5
BAKER,100134,Total Staffed Bed Capacity,ED FRASER MEMORIAL HOSPITAL,12
BAKER,104007,Bed Census,NORTHEAST FLORIDA STATE HOSPITAL,471
BAKER,104007,Available,NORTHEAST FLORIDA STATE HOSPITAL,142
BAKER,104007,Available Capacity,NORTHEAST FLORIDA STATE HOSPITAL,0.231647635
BAKER,104007,Total Staffed Bed Capacity,NORTHEAST FLORIDA STATE HOSPITAL,613
BAY,100026,Bed Census,ASCENSION SACRED HEART BAY,116
BAY,100026,Available,ASCENSION SACRED HEART BAY,27
BAY,100026,Available Capacity,ASCENSION SACRED HEART BAY,0.188811189
BAY,100026,Total Staffed Bed Capacity,ASCENSION SACRED HEART BAY,143
BAY,100242,Bed Census,GULF COAST REGIONAL MEDICAL CENTER,182
BAY,100242,Available,GULF COAST REGIONAL MEDICAL CENTER,49
BAY,100242,Available Capacity,GULF COAST REGIONAL MEDICAL CENTER,0.212121212
BAY,100242,Total Staffed Bed Capacity,GULF COAST REGIONAL MEDICAL CENTER,231
BAY,110034,Bed Census,EMERALD COAST BEHAVIORAL HOSPITAL,68
BAY,110034,Available,EMERALD COAST BEHAVIORAL HOSPITAL,18
BAY,110034,Available Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,0.209302326
BAY,110034,Total Staffed Bed Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,86
BAY,23960013,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,43
BAY,23960013,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,12
BAY,23960013,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0.218181818
BAY,23960013,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,55
BAY,23960045,Bed Census,SELECT SPECIALTY HOSPITAL - PANAMA CITY,23
BAY,23960045,Available,SELECT SPECIALTY HOSPITAL - PANAMA CITY,7
BAY,23960045,Available Capacity,SELECT SPECIALTY HOSPITAL - PANAMA CITY,0.233333333
BAY,23960045,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL - PANAMA CITY,30
BRADFORD,100103,Bed Census,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5
BRADFORD,100103,Available,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5
BRADFORD,100103,Available Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,0.5
BRADFORD,100103,Total Staffed Bed Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,10
BREVARD,100019,Bed Census,HOLMES REGIONAL MEDICAL CENTER,435
BREVARD,100019,Available,HOLMES REGIONAL MEDICAL CENTER,71
BREVARD,100019,Available Capacity,HOLMES REGIONAL MEDICAL CENTER,0.140316206
BREVARD,100019,Total Staffed Bed Capacity,HOLMES REGIONAL MEDICAL CENTER,506
BREVARD,100028,Bed Census,PARRISH MEDICAL CENTER,96
BREVARD,100028,Available,PARRISH MEDICAL CENTER,78
BREVARD,100028,Available Capacity,PARRISH MEDICAL CENTER,0.448275862
BREVARD,100028,Total Staffed Bed Capacity,PARRISH MEDICAL CENTER,174
BREVARD,100092,Bed Census,ROCKLEDGE REGIONAL MEDICAL CENTER,130
BREVARD,100092,Available,ROCKLEDGE REGIONAL MEDICAL CENTER,44
BREVARD,100092,Available Capacity,ROCKLEDGE REGIONAL MEDICAL CENTER,0.252873563
BREVARD,100092,Total Staffed Bed Capacity,ROCKLEDGE REGIONAL MEDICAL CENTER,174
BREVARD,100177,Bed Census,CAPE CANAVERAL HOSPITAL,87
BREVARD,100177,Available,CAPE CANAVERAL HOSPITAL,53
BREVARD,100177,Available Capacity,CAPE CANAVERAL HOSPITAL,0.378571429
BREVARD,100177,Total Staffed Bed Capacity,CAPE CANAVERAL HOSPITAL,140
BREVARD,104024,Bed Census,"CIRCLES OF CARE, INC",32
BREVARD,104024,Available,"CIRCLES OF CARE, INC",20
BREVARD,104024,Available Capacity,"CIRCLES OF CARE, INC",0.384615385
BREVARD,104024,Total Staffed Bed Capacity,"CIRCLES OF CARE, INC",52
BREVARD,110027,Bed Census,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,12
BREVARD,110027,Available,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,0
BREVARD,110027,Available Capacity,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,0
BREVARD,110027,Total Staffed Bed Capacity,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,12
BREVARD,110036,Bed Census,DEVEREUX FLORIDA,100
BREVARD,110036,Available,DEVEREUX FLORIDA,0
BREVARD,110036,Available Capacity,DEVEREUX FLORIDA,0
BREVARD,110036,Total Staffed Bed Capacity,DEVEREUX FLORIDA,100
BREVARD,120007,Bed Census,PALM BAY HOSPITAL,94
BREVARD,120007,Available,PALM BAY HOSPITAL,21
BREVARD,120007,Available Capacity,PALM BAY HOSPITAL,0.182608696
BREVARD,120007,Total Staffed Bed Capacity,PALM BAY HOSPITAL,115
BREVARD,23960034,Bed Census,MELBOURNE REGIONAL MEDICAL CENTER,37
BREVARD,23960034,Available,MELBOURNE REGIONAL MEDICAL CENTER,68
BREVARD,23960034,Available Capacity,MELBOURNE REGIONAL MEDICAL CENTER,0.647619048
BREVARD,23960034,Total Staffed Bed Capacity,MELBOURNE REGIONAL MEDICAL CENTER,105
BREVARD,23960090,Bed Census,KINDRED HOSPITAL MELBOURNE,47
BREVARD,23960090,Available,KINDRED HOSPITAL MELBOURNE,13
BREVARD,23960090,Available Capacity,KINDRED HOSPITAL MELBOURNE,0.216666667
BREVARD,23960090,Total Staffed Bed Capacity,KINDRED HOSPITAL MELBOURNE,60
BREVARD,23960092,Bed Census,VIERA HOSPITAL,61
BREVARD,23960092,Available,VIERA HOSPITAL,23
BREVARD,23960092,Available Capacity,VIERA HOSPITAL,0.273809524
BREVARD,23960092,Total Staffed Bed Capacity,VIERA HOSPITAL,84
BREVARD,23960153,Bed Census,PALM POINT BEHAVIORAL HEALTH,30
BREVARD,23960153,Available,PALM POINT BEHAVIORAL HEALTH,14
BREVARD,23960153,Available Capacity,PALM POINT BEHAVIORAL HEALTH,0.318181818
BREVARD,23960153,Total Staffed Bed Capacity,PALM POINT BEHAVIORAL HEALTH,44
BROWARD,100038,Bed Census,MEMORIAL REGIONAL HOSPITAL,698
BROWARD,100038,Available,MEMORIAL REGIONAL HOSPITAL,104
BROWARD,100038,Available Capacity,MEMORIAL REGIONAL HOSPITAL,0.129675810
BROWARD,100038,Total Staffed Bed Capacity,MEMORIAL REGIONAL HOSPITAL,802
BROWARD,100039,Bed Census,BROWARD HEALTH MEDICAL CENTER,357
BROWARD,100039,Available,BROWARD HEALTH MEDICAL CENTER,34
BROWARD,100039,Available Capacity,BROWARD HEALTH MEDICAL CENTER,0.086956522
BROWARD,100039,Total Staffed Bed Capacity,BROWARD HEALTH MEDICAL CENTER,391
BROWARD,100042,Bed Census,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,82
BROWARD,100042,Available,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,37
BROWARD,100042,Available Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,0.310924370
BROWARD,100042,Total Staffed Bed Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,119
BROWARD,100056,Bed Census,CLEVELAND CLINIC HOSPITAL,179
BROWARD,100056,Available,CLEVELAND CLINIC HOSPITAL,51
BROWARD,100056,Available Capacity,CLEVELAND CLINIC HOSPITAL,0.221739130
BROWARD,100056,Total Staffed Bed Capacity,CLEVELAND CLINIC HOSPITAL,230
BROWARD,100073,Bed Census,HOLY CROSS HOSPITAL,199
BROWARD,100073,Available,HOLY CROSS HOSPITAL,149
BROWARD,100073,Available Capacity,HOLY CROSS HOSPITAL,0.428160920
BROWARD,100073,Total Staffed Bed Capacity,HOLY CROSS HOSPITAL,348
BROWARD,100086,Bed Census,BROWARD HEALTH NORTH,221
BROWARD,100086,Available,BROWARD HEALTH NORTH,0
BROWARD,100086,Available Capacity,BROWARD HEALTH NORTH,0
BROWARD,100086,Total Staffed Bed Capacity,BROWARD HEALTH NORTH,221
BROWARD,100120,Bed Census,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,38
BROWARD,100120,Available,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,26
BROWARD,100120,Available Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,0.40625
BROWARD,100120,Total Staffed Bed Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,64
BROWARD,100167,Bed Census,PLANTATION GENERAL HOSPITAL,123
BROWARD,100167,Available,PLANTATION GENERAL HOSPITAL,141
BROWARD,100167,Available Capacity,PLANTATION GENERAL HOSPITAL,0.534090909
BROWARD,100167,Total Staffed Bed Capacity,PLANTATION GENERAL HOSPITAL,264
BROWARD,100189,Bed Census,NORTHWEST MEDICAL CENTER,184
BROWARD,100189,Available,NORTHWEST MEDICAL CENTER,109
BROWARD,100189,Available Capacity,NORTHWEST MEDICAL CENTER,0.372013652
BROWARD,100189,Total Staffed Bed Capacity,NORTHWEST MEDICAL CENTER,293
BROWARD,100200,Bed Census,BROWARD HEALTH IMPERIAL POINT,83
BROWARD,100200,Available,BROWARD HEALTH IMPERIAL POINT,3
BROWARD,100200,Available Capacity,BROWARD HEALTH IMPERIAL POINT,0.034883721
BROWARD,100200,Total Staffed Bed Capacity,BROWARD HEALTH IMPERIAL POINT,86
BROWARD,100210,Bed Census,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,151
BROWARD,100210,Available,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,39
BROWARD,100210,Available Capacity,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,0.205263158
BROWARD,100210,Total Staffed Bed Capacity,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,190
BROWARD,100224,Bed Census,UNIVERSITY HOSPITAL AND MEDICAL CENTER,167
BROWARD,100224,Available,UNIVERSITY HOSPITAL AND MEDICAL CENTER,150
BROWARD,100224,Available Capacity,UNIVERSITY HOSPITAL AND MEDICAL CENTER,0.473186120
BROWARD,100224,Total Staffed Bed Capacity,UNIVERSITY HOSPITAL AND MEDICAL CENTER,317
BROWARD,100225,Bed Census,MEMORIAL REGIONAL HOSPITAL SOUTH,86
BROWARD,100225,Available,MEMORIAL REGIONAL HOSPITAL SOUTH,33
BROWARD,100225,Available Capacity,MEMORIAL REGIONAL HOSPITAL SOUTH,0.277310924
BROWARD,100225,Total Staffed Bed Capacity,MEMORIAL REGIONAL HOSPITAL SOUTH,119
BROWARD,100228,Bed Census,WESTSIDE REGIONAL MEDICAL CENTER,183
BROWARD,100228,Available,WESTSIDE REGIONAL MEDICAL CENTER,67
BROWARD,100228,Available Capacity,WESTSIDE REGIONAL MEDICAL CENTER,0.268
BROWARD,100228,Total Staffed Bed Capacity,WESTSIDE REGIONAL MEDICAL CENTER,250
BROWARD,100230,Bed Census,MEMORIAL HOSPITAL PEMBROKE,122
BROWARD,100230,Available,MEMORIAL HOSPITAL PEMBROKE,35
BROWARD,100230,Available Capacity,MEMORIAL HOSPITAL PEMBROKE,0.222929936
BROWARD,100230,Total Staffed Bed Capacity,MEMORIAL HOSPITAL PEMBROKE,157
BROWARD,103027,Bed Census,ST ANTHONY'S REHABILITATION HOSPITAL,7
BROWARD,103027,Available,ST ANTHONY'S REHABILITATION HOSPITAL,19
BROWARD,103027,Available Capacity,ST ANTHONY'S REHABILITATION HOSPITAL,0.730769231
BROWARD,103027,Total Staffed Bed Capacity,ST ANTHONY'S REHABILITATION HOSPITAL,26
BROWARD,103028,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,83
BROWARD,103028,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,27
BROWARD,103028,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,0.245454545
BROWARD,103028,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,110
BROWARD,104001,Bed Census,SOUTH FLORIDA STATE HOSPITAL,282
BROWARD,104001,Available,SOUTH FLORIDA STATE HOSPITAL,0
BROWARD,104001,Available Capacity,SOUTH FLORIDA STATE HOSPITAL,0
BROWARD,104001,Total Staffed Bed Capacity,SOUTH FLORIDA STATE HOSPITAL,282
